Date,Open,High,Low,Close,Volume
2026-02-11 09:15:00,2980.0,2997.8,2980.0,2992.4,49528
2026-02-11 09:16:00,2992.3,2993.4,2986.7,2988.3,18976
2026-02-11 09:17:00,2987.7,2995.2,2986.5,2992.7,22945
2026-02-11 09:18:00,2991.6,2998.0,2991.5,2993.9,18149
2026-02-11 09:19:00,2994.8,2995.4,2992.8,2993.8,14873
2026-02-11 09:20:00,2993.4,2993.6,2987.7,2988.3,12008
2026-02-11 09:21:00,2988.2,2990.9,2987.0,2988.2,11099
2026-02-11 09:22:00,2988.2,2990.0,2986.6,2987.0,11287
2026-02-11 09:23:00,2987.0,2987.4,2981.1,2983.2,20626
2026-02-11 09:24:00,2982.6,2983.8,2982.3,2982.5,8861
2026-02-11 09:25:00,2982.4,2983.6,2980.7,2981.0,9437
2026-02-11 09:26:00,2981.2,2984.7,2980.7,2983.0,10488
2026-02-11 09:27:00,2982.1,2982.7,2981.0,2981.0,7829
2026-02-11 09:28:00,2981.4,2982.3,2980.3,2980.8,8082
2026-02-11 09:29:00,2980.7,2981.4,2975.0,2975.7,25126
2026-02-11 09:30:00,2976.7,2976.7,2974.9,2976.1,10862
2026-02-11 09:31:00,2976.0,2976.4,2972.3,2973.6,12280
2026-02-11 09:32:00,2972.7,2973.8,2970.0,2973.1,16169
2026-02-11 09:33:00,2973.1,2973.1,2969.6,2971.3,12702
2026-02-11 09:34:00,2972.2,2972.7,2970.1,2971.8,8544
2026-02-11 09:35:00,2971.8,2972.0,2970.8,2971.0,6077
2026-02-11 09:36:00,2971.0,2971.4,2970.0,2970.9,6858
2026-02-11 09:37:00,2970.6,2970.9,2967.1,2967.6,8853
2026-02-11 09:38:00,2967.6,2969.2,2966.8,2968.1,14426
2026-02-11 09:39:00,2969.0,2970.3,2966.0,2966.8,11682
2026-02-11 09:40:00,2966.9,2968.0,2965.9,2966.3,8019
2026-02-11 09:41:00,2966.3,2968.0,2966.3,2967.1,7424
2026-02-11 09:42:00,2967.3,2968.0,2966.1,2966.8,7627
2026-02-11 09:43:00,2966.7,2966.7,2964.3,2965.5,12032
2026-02-11 09:44:00,2965.7,2966.0,2964.5,2965.4,5648
2026-02-11 09:45:00,2965.6,2966.1,2963.9,2963.9,11924
2026-02-11 09:46:00,2964.0,2965.5,2963.3,2965.0,9036
2026-02-11 09:47:00,2965.0,2965.2,2963.0,2965.2,9783
2026-02-11 09:48:00,2964.2,2965.0,2963.5,2963.5,4496
2026-02-11 09:49:00,2963.5,2964.3,2961.5,2961.6,10232
2026-02-11 09:50:00,2961.7,2963.0,2960.9,2962.3,11489
2026-02-11 09:51:00,2961.5,2961.5,2957.1,2958.1,30202
2026-02-11 09:52:00,2958.7,2958.8,2956.8,2957.5,8854
2026-02-11 09:53:00,2957.7,2960.7,2956.9,2960.7,14020
2026-02-11 09:54:00,2960.1,2961.9,2960.0,2960.5,6389
2026-02-11 09:55:00,2960.5,2962.1,2960.2,2961.7,9682
2026-02-11 09:56:00,2961.7,2963.0,2961.5,2962.2,7170
2026-02-11 09:57:00,2962.5,2962.5,2961.3,2961.5,8002
2026-02-11 09:58:00,2962.5,2962.5,2961.3,2961.3,3602
2026-02-11 09:59:00,2961.3,2963.9,2961.3,2961.5,9061
2026-02-11 10:00:00,2961.5,2962.3,2959.8,2960.1,9984
2026-02-11 10:01:00,2960.1,2960.4,2958.6,2958.9,5697
2026-02-11 10:02:00,2958.9,2959.0,2958.3,2958.8,4197
2026-02-11 10:03:00,2958.9,2961.0,2957.6,2958.5,9461
2026-02-11 10:04:00,2958.5,2958.5,2957.1,2957.1,6910
2026-02-11 10:05:00,2957.0,2958.8,2955.8,2956.0,14844
2026-02-11 10:06:00,2955.9,2957.6,2954.5,2955.0,11083
2026-02-11 10:07:00,2955.0,2955.9,2954.8,2954.9,5427
2026-02-11 10:08:00,2954.9,2956.2,2952.8,2955.1,13374
2026-02-11 10:09:00,2955.0,2957.0,2954.3,2956.6,8699
2026-02-11 10:10:00,2956.6,2959.5,2956.5,2959.3,6781
2026-02-11 10:11:00,2959.3,2961.9,2956.9,2961.9,9970
2026-02-11 10:12:00,2962.0,2964.2,2961.1,2963.3,9473
2026-02-11 10:13:00,2963.9,2963.9,2959.2,2959.5,6959
2026-02-11 10:14:00,2959.3,2960.8,2958.3,2958.3,2670
2026-02-11 10:15:00,2959.3,2960.9,2959.2,2960.0,2828
2026-02-11 10:16:00,2960.1,2962.5,2959.0,2962.2,4784
2026-02-11 10:17:00,2962.0,2964.0,2962.0,2962.4,8755
2026-02-11 10:18:00,2963.4,2964.8,2962.5,2964.8,7904
2026-02-11 10:19:00,2964.8,2967.2,2963.3,2963.3,9518
